filename,angle_cw
100_rot60_00_100.png,60.0
101_rot146_00_101.png,146.0
102_rot62_00_102.png,62.0
103_rot255_00_103.png,255.0
104_rot7_00_104.png,7.0
105_rot136_00_105.png,136.0
106_rot86_00_106.png,86.0
107_rot92_00_107.png,92.0
108_rot276_00_108.png,276.0
109_rot300_00_109.png,300.0
10_rot144_00_10.png,144.0
110_rot82_00_110.png,82.0
111_rot85_00_111.png,85.0
112_rot207_00_112.png,207.0
113_rot161_00_113.png,161.0
114_rot231_00_114.png,231.0
115_rot99_00_115.png,99.0
116_rot284_00_116.png,284.0
117_rot190_00_117.png,190.0
118_rot296_00_118.png,296.0
119_rot93_00_119.png,93.0
11_rot132_00_11.png,132.0
120_rot172_00_120.png,172.0
121_rot73_00_121.png,73.0
122_rot105_00_122.png,105.0
123_rot180_00_123.png,180.0
124_rot155_00_124.png,155.0
125_rot72_00_125.png,72.0
126_rot255_00_126.png,255.0
127_rot65_00_127.png,65.0
128_rot98_00_128.png,98.0
129_rot301_00_129.png,301.0
12_rot186_00_12.png,186.0
130_rot266_00_130.png,266.0
131_rot113_00_131.png,113.0
132_rot164_00_132.png,164.0
133_rot121_00_133.png,121.0
134_rot93_00_134.png,93.0
135_rot236_00_135.png,236.0
136_rot189_00_136.png,189.0
137_rot209_00_137.png,209.0
138_rot169_00_138.png,169.0
139_rot152_00_139.png,152.0
13_rot65_00_13.png,65.0
140_rot86_00_140.png,86.0
141_rot107_00_141.png,107.0
142_rot183_00_142.png,183.0
143_rot223_00_143.png,223.0
144_rot211_00_144.png,211.0
145_rot192_00_145.png,192.0
146_rot180_00_146.png,180.0
147_rot104_00_147.png,104.0
148_rot207_00_148.png,207.0
149_rot253_00_149.png,253.0
14_rot68_00_14.png,68.0
150_rot215_00_150.png,215.0
151_rot225_00_151.png,225.0
152_rot147_00_152.png,147.0
153_rot299_00_153.png,299.0
154_rot193_00_154.png,193.0
155_rot280_00_155.png,280.0
156_rot208_00_156.png,208.0
157_rot58_00_157.png,58.0
